id,编号,序号,名称,页面标题,精灵阶段,主属性,副属性,特性,特性描述,生命,物攻,魔攻,物防,魔防,速度,种族值总和,回顾,星光值,是否有异色,初阶名称,地区形态,进化条件,体型,重量,分布地区,更新版本,页面链接,立绘链接,立绘路径
270,174,10174,菇菇丁,菇菇丁,Ⅰ阶,地,草,多人宿舍,自己的能量可以超过能量上限。,89,61,57,70,57,42,376,,,否,菇菇丁,,,0.25~0.35,1.1~2.76,常见于草地、山林、山洞,0.6,https://wiki.biligame.com/rocom/%E8%8F%87%E8%8F%87%E4%B8%81,https://patchwiki.biligame.com/images/rocom/d/df/t98utjcp899ymqdm8bvpapuoajiri1k.png,
271,175,10175,多菇丁,多菇丁,Ⅱ阶,地,草,多人宿舍,自己的能量可以超过能量上限。,119,81,76,93,76,56,501,,,否,菇菇丁,,天气为雨天进化,0.6~0.7,5.4~6.8,常见于草地、山林、山洞,0.6,https://wiki.biligame.com/rocom/%E5%A4%9A%E8%8F%87%E4%B8%81,https://patchwiki.biligame.com/images/rocom/5/54/5zfiphchqveime7yps9honw4eh4x82b.png,
272,176,10176,九幽菇,九幽菇,最终阶段,地,草,多人宿舍,自己的能量可以超过能量上限。,149,102,95,116,95,70,627,,,否,菇菇丁,,天气为雨天进化,1.55~1.65,42~58,常见于草地、山林、山洞,0.6,https://wiki.biligame.com/rocom/%E4%B9%9D%E5%B9%BD%E8%8F%87,https://patchwiki.biligame.com/images/rocom/7/7a/n1t0h2rav7kjmjssgf2ctnahj8vaf0u.png,
273,177,10177,斑斑,斑斑,Ⅰ阶,翼,,逐魂鸟,能耗小于等于1的攻击技能，无法对自己造成伤害。,71,90,90,71,80,92,494,,,否,斑斑,,,0.47~0.6,4.79~6.17,常见于山林,0.6,https://wiki.biligame.com/rocom/%E6%96%91%E6%96%91,https://patchwiki.biligame.com/images/rocom/a/a7/9yzfpa9tuduznirix7p82i40nqlkfep.png,
274,178,10178,斑枭,斑枭,最终阶段,翼,,逐魂鸟,能耗小于等于1的攻击技能，无法对自己造成伤害。,89,112,112,89,100,115,617,,,否,斑斑,,,0.68~0.81,15.9~23.8,常见于山林,0.6,https://wiki.biligame.com/rocom/%E6%96%91%E6%9E%AD,https://patchwiki.biligame.com/images/rocom/a/a7/hnf5vk2e32l7c5s4rozuy2iuopkykoq.png,
275,179,10179,草头鸭,草头鸭,Ⅰ阶,草,,得寸进尺,天气为雨天，或处于其他水系环境中时，获得双攻+100%。,92,79,24,66,50,92,403,,,否,草头鸭,,,0.5~0.72,4.9~6.57,奥贝斯坦湖,0.6,https://wiki.biligame.com/rocom/%E8%8D%89%E5%A4%B4%E9%B8%AD,https://patchwiki.biligame.com/images/rocom/e/e3/23v62tjddaret7a0jlqww40noorvmir.png,
276,180,10180,卷毛鸭,卷毛鸭,最终阶段,草,武,得寸进尺,天气为雨天，或处于其他水系环境中时，获得双攻+100%。,116,98,29,83,63,115,504,,,否,草头鸭,,,0.9~1.29,35.8~48.06,常见于河岸、山地,0.6,https://wiki.biligame.com/rocom/%E5%8D%B7%E6%AF%9B%E9%B8%AD,https://patchwiki.biligame.com/images/rocom/0/0f/pzglsihj4tscuiypshxtjxq7x9u9bwp.png,
277,181,10181,海豹战士,海豹战士,Ⅰ阶,武,水,身经百练,己方精灵每应对1次，自己入场时水系和武系技能威力+20%。,72,91,87,89,62,80,481,,,否,海豹战士,,,0.64~0.92,69.5~87.6,常见于海岸,0.6,https://wiki.biligame.com/rocom/%E6%B5%B7%E8%B1%B9%E6%88%98%E5%A3%AB,https://patchwiki.biligame.com/images/rocom/b/b5/n6mz568m7fofwz1w3lkc5qk6bsxfy9s.png,
278,182,10182,海豹船长,海豹船长,最终阶段,武,水,身经百练,己方精灵每应对1次，自己入场时水系和武系技能威力+20%。,90,113,109,111,77,100,600,,,否,海豹战士,,,1.26~1.8,145~165,常见于海岸,0.6,https://wiki.biligame.com/rocom/%E6%B5%B7%E8%B1%B9%E8%88%B9%E9%95%BF,https://patchwiki.biligame.com/images/rocom/f/fc/nrbg9xhvigh963cwi1nyqt6kl6t68zv.png,
279,183,10183,号儿鱼,号儿鱼,Ⅰ阶,水,,泛音列,使用状态技能后，敌方获得【聒噪】技能的效果，持续3回合。,109,27,76,76,88,84,460,,,否,号儿鱼,,,0.31~0.42,3.9~5.25,常见于海面、河面,0.6,https://wiki.biligame.com/rocom/%E5%8F%B7%E5%84%BF%E9%B1%BC,https://patchwiki.biligame.com/images/rocom/a/a1/b8v1gy6rvsqs6g02hko4oa7bj0z04gk.png,
280,184,10184,圆号鱼,圆号鱼,最终阶段,水,,泛音列,使用状态技能后，敌方获得【聒噪】技能的效果，持续3回合。,136,34,95,95,110,105,575,,,否,号儿鱼,,,0.79~0.98,10.9~15.8,常见于海面、河面,0.6,https://wiki.biligame.com/rocom/%E5%9C%86%E5%8F%B7%E9%B1%BC,https://patchwiki.biligame.com/images/rocom/e/ed/7zahvzx6o4jiedrqiqa1q6rp8wbdyso.png,
281,185,10185,甜田螺,甜田螺,Ⅰ阶,水,萌,守护者,己方其他精灵每有1层萌化，自己入场时全技能能耗-1。,68,61,64,49,74,54,370,,,否,甜田螺,,,0.41~0.58,7.5~9.4,常见于湖面,0.6,https://wiki.biligame.com/rocom/%E7%94%9C%E7%94%B0%E8%9E%BA,https://patchwiki.biligame.com/images/rocom/5/55/bck3l95dm5ub49vdc3ung79bh0edirl.png,
282,186,10186,壳乙螺,壳乙螺,Ⅱ阶,水,萌,守护者,己方其他精灵每有1层萌化，自己入场时全技能能耗-1。,91,81,86,66,99,72,495,,,否,甜田螺,,,0.68~0.97,11.05~19.04,常见于湖面,0.6,https://wiki.biligame.com/rocom/%E5%A3%B3%E4%B9%99%E8%9E%BA,https://patchwiki.biligame.com/images/rocom/9/9e/tefnpfeeyu3n93u9gp0d9sfk11s5tol.png,
283,187,10187,卡洛儿,卡洛儿,最终阶段,水,萌,守护者,己方其他精灵每有1层萌化，自己入场时全技能能耗-1。,114,102,107,82,124,90,619,,,否,甜田螺,,,0.7~1,21.4~25.6,常见于湖面,0.6,https://wiki.biligame.com/rocom/%E5%8D%A1%E6%B4%9B%E5%84%BF,https://patchwiki.biligame.com/images/rocom/c/c9/t773ll421ypqybexg7xzjb3qs2rt2m0.png,
284,188,10188,棋棋,棋棋（白子）,Ⅰ阶,武,地,腾挪,攻击技能应对1次后，回满状态，变为棋绮后。,72,100,36,70,56,100,434,,,否,棋棋（白子）,白子,,0.35~0.47,10.7~14.5,常见于山林、城堡周边,0.6,https://wiki.biligame.com/rocom/%E6%A3%8B%E6%A3%8B%EF%BC%88%E7%99%BD%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/b/b5/26ff3g1g1g5v1yzt8la359hajhaxyuo.png,
285,188,101881,棋棋,棋棋（黑子）,最终阶段,武,地,腾挪,攻击技能应对1次后，回满状态，变为棋绮后。,66,97,35,67,53,100,418,,,否,棋棋（黑子）,黑子,,0.35~0.47,10.7~14.5,常见于山林、城堡周边,0.6,https://wiki.biligame.com/rocom/%E6%A3%8B%E6%A3%8B%EF%BC%88%E9%BB%91%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/3/36/n3n0ij7x5he8u1exjqbzpl0xaerzu2u.png,
286,189,10189,棋骑士,棋骑士（白子）,最终阶段,武,地,腾挪,攻击技能应对1次后，回满状态，变为棋绮后。,90,126,45,88,69,125,543,,,否,棋棋（白子）,白子,击败三次棋骑士（黑子）,0.98~1.35,43.06~60.09,常见于山林、城堡周边,0.6,https://wiki.biligame.com/rocom/%E6%A3%8B%E9%AA%91%E5%A3%AB%EF%BC%88%E7%99%BD%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/6/6c/8vu1ju9uu71aux8unhdyq9gcfw9if5p.png,
287,189,101891,棋骑士,棋骑士（黑子）,最终阶段,武,地,腾挪,攻击技能应对1次后，回满状态，变为棋绮后。,83,121,43,84,66,125,522,,,否,棋棋（黑子）,黑子,击败三次棋骑士（白子）,0.98~1.35,43.06~60.09,常见于山林、城堡周边,0.6,https://wiki.biligame.com/rocom/%E6%A3%8B%E9%AA%91%E5%A3%AB%EF%BC%88%E9%BB%91%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/2/28/opq7dnblmw29jx3r7l6mipn76vn336t.png,
288,190,10190,棋齐垒,棋齐垒（白子）,最终阶段,武,地,保卫,防御技能应对2次后，回满状态，变为棋绮后。,89,94,38,116,77,75,489,,,否,棋棋（白子）,白子,击败三次棋齐垒（黑子）,1.45~1.71,58.01~70.05,常见于山林、城堡周边,0.6,https://wiki.biligame.com/rocom/%E6%A3%8B%E9%BD%90%E5%9E%92%EF%BC%88%E7%99%BD%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/9/9d/7ysj4q3d5kvymcqo698ygpsbfzi5m7d.png,
289,190,101901,棋齐垒,棋齐垒（黑子）,最终阶段,武,地,保卫,防御技能应对2次后，回满状态，变为棋绮后。,89,94,38,116,77,75,489,,,否,棋棋（黑子）,黑子,击败三次棋齐垒（白子）,1.45~1.71,58.01~70.05,常见于山林、城堡周边,0.6,https://wiki.biligame.com/rocom/%E6%A3%8B%E9%BD%90%E5%9E%92%EF%BC%88%E9%BB%91%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/0/03/gry6dnq5puop6nts9jt2s699zmwnmr6.png,
290,191,10191,棋祈督,棋祈督（白子）,最终阶段,武,地,好象坏象,状态技能应对1次后，回满状态，变为棋绮后。,126,87,87,90,72,85,547,,,否,棋棋（白子）,白子,击败三次棋祈督（黑子）,0.98~1.35,38.07~47.05,常见于山林、城堡周边,0.6,https://wiki.biligame.com/rocom/%E6%A3%8B%E7%A5%88%E7%9D%A3%EF%BC%88%E7%99%BD%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/6/69/o85fkrungproeat6rco9guv5ptjw80t.png,
291,191,101911,棋祈督,棋祈督（黑子）,最终阶段,武,地,好象坏象,状态技能应对1次后，回满状态，变为棋绮后。,126,87,87,90,72,85,547,,,否,棋棋（黑子）,黑子,击败三次棋祈督（白子）,0.98~1.35,38.07~47.05,常见于山林、城堡周边,0.6,https://wiki.biligame.com/rocom/%E6%A3%8B%E7%A5%88%E7%9D%A3%EF%BC%88%E9%BB%91%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/2/21/e64yhkunfi95tvxumu4608o41ahk2v5.png,
292,192,101922,棋契陛下,棋契陛下,最终阶段,武,地,御驾亲征,棋契陛下大幅提升种族资质，力竭时扣除4魔力。,90,200,91,140,115,125,761,,,否,棋棋（白子）,,,1.77~2.04,122.05~175.2,常见于山林、城堡周边,0.6,https://wiki.biligame.com/rocom/%E6%A3%8B%E5%A5%91%E9%99%9B%E4%B8%8B,https://patchwiki.biligame.com/images/rocom/f/fa/ihoz48rv7tlsoh4um8m4f3fyvk0p56r.png,
293,192,10192,棋绮后,棋绮后（白子）,最终阶段,武,地,渗透,己方精灵每使用1次武系或地系技能，自己入场时获得攻防+5%。,93,84,84,82,75,90,508,,,否,棋棋（白子）,白子,击败三次棋绮后（黑子）,1.66~1.81,30.01~41.02,常见于山林、城堡周边,0.6,https://wiki.biligame.com/rocom/%E6%A3%8B%E7%BB%AE%E5%90%8E%EF%BC%88%E7%99%BD%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/3/34/9sv0ivcdr9sp5dkfk9miyjnqhf60di8.png,
294,192,101921,棋绮后,棋绮后（黑子）,最终阶段,武,地,渗透,己方精灵每使用1次武系或地系技能，自己入场时获得攻防+5%。,93,84,84,82,75,90,508,,,否,棋棋（黑子）,黑子,击败三次棋绮后（白子）,1.66~1.81,30.01~41.02,常见于山林、城堡周边,0.6,https://wiki.biligame.com/rocom/%E6%A3%8B%E7%BB%AE%E5%90%8E%EF%BC%88%E9%BB%91%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/2/22/fdve9gnonlwl0zywy7n4r1tf0kr3ehr.png,
295,193,10193,奔波鼠,奔波鼠,Ⅰ阶,地,,奔波命,使用防御技能后，回合结束时脱离。,72,37,93,67,90,92,451,,,否,奔波鼠,,,0.46~0.6,3.71~6.4,偶见于城镇,0.6,https://wiki.biligame.com/rocom/%E5%A5%94%E6%B3%A2%E9%BC%A0,https://patchwiki.biligame.com/images/rocom/d/d0/qc6wa2f2bpo8uv28uf5hmgw5lmy3evv.png,
296,194,10194,流浪鼠,流浪鼠,最终阶段,地,,奔波命,使用防御技能后，回合结束时脱离。,90,46,116,84,112,115,563,,,否,奔波鼠,,挖矿3次,0.88~1.23,59.6~74.3,偶见于城镇,0.6,https://wiki.biligame.com/rocom/%E6%B5%81%E6%B5%AA%E9%BC%A0,https://patchwiki.biligame.com/images/rocom/e/e7/1ewnn289ny2ksdz247u2i3ytq7xnv03.png,
297,195,10195,呆小路,呆小路,Ⅰ阶,草,萌,营养液泡,获得增益时，额外获得层数+2。,52,60,64,68,79,57,380,,,否,呆小路,,,0.58~0.83,4.5~5.8,常见于草地、山林,0.6,https://wiki.biligame.com/rocom/%E5%91%86%E5%B0%8F%E8%B7%AF,https://patchwiki.biligame.com/images/rocom/b/be/4zu0yqt23bt4cva2bswky1q5ivje1tw.png,
298,196,10196,舞动路路,舞动路路,Ⅱ阶,草,萌,营养液泡,获得增益时，额外获得层数+2。,69,80,86,91,105,76,507,,,否,呆小路,,,0.69~0.99,7.4~9.1,常见于草地、山林,0.6,https://wiki.biligame.com/rocom/%E8%88%9E%E5%8A%A8%E8%B7%AF%E8%B7%AF,https://patchwiki.biligame.com/images/rocom/5/5b/plclzvr15shbkq90l2yrk23783kh3e7.png,
299,197,10197,白发路路,白发路路,最终阶段,草,萌,营养液泡,获得增益时，额外获得层数+2。,86,100,107,113,132,95,633,,,否,呆小路,,,0.89~1.27,15.5~21.6,常见于草地、山林,0.6,https://wiki.biligame.com/rocom/%E7%99%BD%E5%8F%91%E8%B7%AF%E8%B7%AF,https://patchwiki.biligame.com/images/rocom/9/9a/hx21iweu65ojmeo4ws3ucpbsngknrv9.png,
300,198,10198,逗逗,逗逗,Ⅰ阶,萌,,鼓气,使用能耗为3的技能时，获得攻防+20%。,48,70,64,68,68,66,384,,,否,逗逗,,,0.3~0.4,0.45~1.53,常见于山地,0.6,https://wiki.biligame.com/rocom/%E9%80%97%E9%80%97,https://patchwiki.biligame.com/images/rocom/2/27/5mkpc1wb4947ua7m9efws2u0sdgfgvq.png,
301,199,10199,气球猫,气球猫,Ⅱ阶,萌,,鼓气,使用能耗为3的技能时，获得攻防+20%。,64,93,86,90,90,88,511,,,否,逗逗,,,0.41~0.59,0.95~2.15,常见于山地,0.6,https://wiki.biligame.com/rocom/%E6%B0%94%E7%90%83%E7%8C%AB,https://patchwiki.biligame.com/images/rocom/3/31/rt7jxpcoc6msmzccuxw2vlait3poir9.png,
302,200,102001,奇梦咪,奇梦咪,最终阶段,萌,,三鼓作气,使用能耗为3的技能时，获得攻防永久+20%。,81,128,119,123,123,110,684,,,否,逗逗,,,2.29~2.75,38.7~55,常见于山地,0.6,https://wiki.biligame.com/rocom/%E5%A5%87%E6%A2%A6%E5%92%AA,https://patchwiki.biligame.com/images/rocom/2/2f/avu0fx5ey1z75o1j6o9bnbqle8lxy2b.png,
303,200,10200,梦想三三,梦想三三,最终阶段,萌,,鼓气,使用能耗为3的技能时，获得攻防+20%。,81,117,107,113,113,110,641,,,否,逗逗,,,1.18~1.45,12.04~19.04,常见于山地,0.6,https://wiki.biligame.com/rocom/%E6%A2%A6%E6%83%B3%E4%B8%89%E4%B8%89,https://patchwiki.biligame.com/images/rocom/a/a5/embzuzv9e1h1sp3btykrnthnsvqzwwh.png,
304,201,10201,花怨鳗,花怨鳗,Ⅰ阶,地,草,铃兰晚钟,首次入场时，失去自己一半的当前生命。,232,73,73,110,90,52,630,,,否,花怨鳗,,,0.58~0.68,2.9~4,常见于田地、河岸,0.6,https://wiki.biligame.com/rocom/%E8%8A%B1%E6%80%A8%E9%B3%97,https://patchwiki.biligame.com/images/rocom/0/02/167gulpq7gmilrurzc4r0yattm4ai8z.png,
305,202,10202,鳗尾兽,鳗尾兽,最终阶段,地,草,铃兰晚钟,首次入场时，失去自己一半的当前生命。,290,91,91,138,113,65,788,,,否,花怨鳗,,,0.79~0.92,19.8~36.5,常见于田地、河岸,0.6,https://wiki.biligame.com/rocom/%E9%B3%97%E5%B0%BE%E5%85%BD,https://patchwiki.biligame.com/images/rocom/d/dd/74c75nqv3qyl9jwto5rvywya5suqd2d.png,
306,203,10203,伊雷龙,伊雷龙,Ⅰ阶,龙,,嫉妒,蓄力状态下，可以使用任一携带技能。,90,73,152,55,79,72,521,,,否,伊雷龙,,,0.72~0.94,27.2~34,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E4%BC%8A%E9%9B%B7%E9%BE%99,https://patchwiki.biligame.com/images/rocom/6/66/iq3mle7m6g6cwmo5u0xh5afcf6fzsmd.png,
307,204,10204,伊兰亚龙,伊兰亚龙,最终阶段,龙,,嫉妒,蓄力状态下，可以使用任一携带技能。,112,91,190,69,99,90,651,,,否,伊雷龙,,,3.65~4,168~195,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E4%BC%8A%E5%85%B0%E4%BA%9A%E9%BE%99,https://patchwiki.biligame.com/images/rocom/d/df/o0eh3mugruyhxfjm57xlzjqq4y1hki3.png,
308,204,102041,伊兰龙,伊兰龙,最终阶段,龙,,游弋,蓄力时可使用任一携带技能，且获得双防+100%。,112,91,190,69,99,90,651,,,否,伊雷龙,,,5.5~7,228~342,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E4%BC%8A%E5%85%B0%E9%BE%99,https://patchwiki.biligame.com/images/rocom/0/01/l6x36cg23ukq4oqounv006bosvwuhsd.png,
309,205,10205,拉特,拉特,Ⅰ阶,电,,噼啪！,入场后首次行动，所选技能使用次数+1。,67,80,80,62,78,100,467,,,是,拉特,,,0.49~0.61,7.7~8.6,常见于山林,0.6,https://wiki.biligame.com/rocom/%E6%8B%89%E7%89%B9,https://patchwiki.biligame.com/images/rocom/a/a1/4pqv1u751dss8ff0u87y747ot29b4m9.png,
310,206,10206,酷拉,酷拉,最终阶段,电,,噼啪！,入场后首次行动，所选技能使用次数+1。,83,100,100,78,97,125,583,,,是,拉特,,,0.99~1.24,19.5~23.5,常见于山林,0.6,https://wiki.biligame.com/rocom/%E9%85%B7%E6%8B%89,https://patchwiki.biligame.com/images/rocom/8/8e/f72t0l1mbisw4ehkivz7pdpbcqkosus.png,
311,207,10207,闪电环,闪电环,Ⅰ阶,电,,防过载保护,每次行动后脱离。,64,49,49,51,50,72,335,,,否,闪电环,,,0.37~0.46,2.4~3.1,常见于山林,0.6,https://wiki.biligame.com/rocom/%E9%97%AA%E7%94%B5%E7%8E%AF,https://patchwiki.biligame.com/images/rocom/b/b8/o9no3jygnit09u4bsn3o7ezrji62524.png,
312,208,10208,刺电环,刺电环,Ⅱ阶,电,,防过载保护,每次行动后脱离。,85,65,65,68,67,96,446,,,否,闪电环,,,0.58~0.73,10.16~16.74,常见于山林,0.6,https://wiki.biligame.com/rocom/%E5%88%BA%E7%94%B5%E7%8E%AF,https://patchwiki.biligame.com/images/rocom/6/6e/3alwgp99gzkftk2qf4l1khkrfduszql.png,
313,209,10209,荆棘电环,荆棘电环,最终阶段,电,,防过载保护,每次行动后脱离。,106,81,81,85,84,120,557,,,否,闪电环,,,0.78~0.98,29.5~34.3,常见于山林,0.6,https://wiki.biligame.com/rocom/%E8%8D%86%E6%A3%98%E7%94%B5%E7%8E%AF,https://patchwiki.biligame.com/images/rocom/5/57/jpk5furnkwy92gmzsrbhmlk1i6tok09.png,
314,210,10210,小箱怪,小箱怪,Ⅰ阶,机械,幻,虚假宝箱,自己力竭时，敌方获得攻防+20%。,111,103,103,122,122,64,625,,,否,小箱怪,,,0.34~0.46,4.45~6.81,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E5%B0%8F%E7%AE%B1%E6%80%AA,https://patchwiki.biligame.com/images/rocom/0/0a/ocy3pzt2cn0mmx85cm8is2ulwy8s2ii.png,
315,211,10211,迷迷箱怪,迷迷箱怪,最终阶段,机械,幻,虚假宝箱,自己力竭时，敌方获得攻防+20%。,138,129,129,153,153,80,782,,,否,小箱怪,,,0.64~0.72,18.02~24.4,行踪神秘,0.6,https://wiki.biligame.com/rocom/%E8%BF%B7%E8%BF%B7%E7%AE%B1%E6%80%AA,https://patchwiki.biligame.com/images/rocom/0/01/g7z9d41f10oqqtxn42417tov8gcg4bo.png,
316,212,,古钟蛇,古钟蛇,Ⅰ阶,萌,,拨浪鼓,己方精灵每使用1次状态技能，自己入场时毒系和萌系技能威力+10。,85,63,63,64,91,80,446,,,,古钟蛇,,,0.95-1.10,6.90-7.80,,0.1,https://wiki.biligame.com/rocom/%E5%8F%A4%E9%92%9F%E8%9B%87,https://patchwiki.biligame.com/images/rocom/1/16/hix4wlbyi39s3zqqpruq1n8z6rg7sc0.png,
317,212,102121,古钟蛇,古钟蛇（本命年的样子）,最终阶段,萌,毒,拨浪鼓,己方精灵每使用1次状态技能，自己入场时毒系和萌系技能威力+10。,0,0,0,0,0,0,0,,,,古钟蛇（本命年的样子）,本命年的样子,,,,,0.2,https://wiki.biligame.com/rocom/%E5%8F%A4%E9%92%9F%E8%9B%87%EF%BC%88%E6%9C%AC%E5%91%BD%E5%B9%B4%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/2/29/92ctyiwyp22v61ftupu4836hao5y4fa.png,
318,212,10212,古钟蛇,古钟蛇（本来的样子）,Ⅰ阶,萌,毒,拨浪鼓,己方精灵每使用1次状态技能，自己入场时毒系和萌系技能威力+10。,85,63,63,64,91,80,446,,,否,古钟蛇（本来的样子）,本来的样子,,0.95~1.1,6.9~7.8,常见于草地,0.6,https://wiki.biligame.com/rocom/%E5%8F%A4%E9%92%9F%E8%9B%87%EF%BC%88%E6%9C%AC%E6%9D%A5%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/1/16/hix4wlbyi39s3zqqpruq1n8z6rg7sc0.png,
319,213,,寒音蛇,寒音蛇,Ⅱ阶,萌,,拨浪鼓,己方精灵每使用1次状态技能，自己入场时毒系和萌系技能威力+10。,106,79,79,80,114,100,558,,,,古钟蛇,,,1.85-2.00,65.00-78.00,,0.1,https://wiki.biligame.com/rocom/%E5%AF%92%E9%9F%B3%E8%9B%87,https://patchwiki.biligame.com/images/rocom/6/62/s7z7xqjuvepavmh17l1pg1pme8559na.png,
320,213,102131,寒音蛇,寒音蛇（本命年的样子）,最终阶段,萌,毒,拨浪鼓,己方精灵每使用1次状态技能，自己入场时毒系和萌系技能威力+10。,0,0,0,0,0,0,0,,,,古钟蛇（本命年的样子）,本命年的样子,,,,,0.2,https://wiki.biligame.com/rocom/%E5%AF%92%E9%9F%B3%E8%9B%87%EF%BC%88%E6%9C%AC%E5%91%BD%E5%B9%B4%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/8/88/h5wobros8r6a1fxi8ytpo4v2fgxgkjz.png,
321,213,10213,寒音蛇,寒音蛇（本来的样子）,最终阶段,萌,毒,拨浪鼓,己方精灵每使用1次状态技能，自己入场时毒系和萌系技能威力+10。,106,79,79,80,114,100,558,,,否,古钟蛇（本来的样子）,本来的样子,,1.85~2,65~78,常见于草地,0.6,https://wiki.biligame.com/rocom/%E5%AF%92%E9%9F%B3%E8%9B%87%EF%BC%88%E6%9C%AC%E6%9D%A5%E7%9A%84%E6%A0%B7%E5%AD%90%EF%BC%89,https://patchwiki.biligame.com/images/rocom/9/9b/pij7rej26vdekdc90n4xaep64r1011l.png,
322,214,10214,矮脚爬爬,矮脚爬爬,Ⅰ阶,虫,,振奋虫心,主动击败敌方后，己方队伍获得5次随机奉献。,80,117,110,74,59,92,532,,,否,矮脚爬爬,,,0.28~0.44,3.3~4.2,常见于山地,0.6,https://wiki.biligame.com/rocom/%E7%9F%AE%E8%84%9A%E7%88%AC%E7%88%AC,https://patchwiki.biligame.com/images/rocom/4/4f/40765c203k2jjtugv9tbciczhr4jmxv.png,
323,215,10215,恶魔红钻,恶魔红钻,最终阶段,虫,恶,振奋虫心,主动击败敌方后，己方队伍获得5次随机奉献。,100,147,137,93,74,115,666,,,否,矮脚爬爬,,,1.32~1.55,42.5~62,常见于山地,0.6,https://wiki.biligame.com/rocom/%E6%81%B6%E9%AD%94%E7%BA%A2%E9%92%BB,https://patchwiki.biligame.com/images/rocom/1/14/ow13sxw8jyv8sq7bhtvxn7yjl8mo88m.png,
324,216,10216,火尾瓦特,火尾瓦特,Ⅰ阶,火,,蒸汽膨胀,己方精灵每使用1次火系技能，自己入场时获得全技能威力+10。,63,70,29,81,56,39,338,,,否,火尾瓦特,,,0.64~0.92,18.5~21.2,常见于山林,0.6,https://wiki.biligame.com/rocom/%E7%81%AB%E5%B0%BE%E7%93%A6%E7%89%B9,https://patchwiki.biligame.com/images/rocom/1/1d/9mmja7l04ln5fe2fn5dhql2nrh0tq4f.png,
325,217,10217,火尾战士,火尾战士,Ⅱ阶,火,,蒸汽膨胀,己方精灵每使用1次火系技能，自己入场时获得全技能威力+10。,84,94,39,108,74,52,451,,,否,火尾瓦特,,,0.76~1.09,48.5~58.6,常见于山林,0.6,https://wiki.biligame.com/rocom/%E7%81%AB%E5%B0%BE%E6%88%98%E5%A3%AB,https://patchwiki.biligame.com/images/rocom/2/27/b2edc64erww7plxlp97ex8cc31jtsku.png,
326,218,10218,烈火守护,烈火守护,最终阶段,火,,蒸汽膨胀,己方精灵每使用1次火系技能，自己入场时获得全技能威力+10。,105,117,49,135,93,65,564,,,否,火尾瓦特,,,0.99~1.42,76.5~87.5,常见于山林,0.6,https://wiki.biligame.com/rocom/%E7%83%88%E7%81%AB%E5%AE%88%E6%8A%A4,https://patchwiki.biligame.com/images/rocom/3/36/8wp59h53ob7gllbz8yewg91ppibly6x.png,
327,219,10219,里拉鳐,里拉鳐,最终阶段,水,,吟游之弦,赋予的印记不会替换其他印记，而是同时生效。,118,82,89,103,147,105,644,,,否,里拉鳐,,,0.94~1.1,38.6~49.5,常见于海面,0.6,https://wiki.biligame.com/rocom/%E9%87%8C%E6%8B%89%E9%B3%90,https://patchwiki.biligame.com/images/rocom/8/80/13gxjtrh4mt3mhyoc1is69gz7vfm3tv.png,
328,220,102201,海枝枝,海枝枝（杏黄百合）,最终阶段,水,幽,珊瑚骨,敌方精灵离场时，自己获得全技能能耗-3。,91,48,125,104,129,110,607,,,否,海枝枝（杏黄百合）,杏黄百合,,0.75~0.85,3.51~6.82,常见于海面,0.6,https://wiki.biligame.com/rocom/%E6%B5%B7%E6%9E%9D%E6%9E%9D%EF%BC%88%E6%9D%8F%E9%BB%84%E7%99%BE%E5%90%88%EF%BC%89,https://patchwiki.biligame.com/images/rocom/2/2c/d3tckjycxkj2wymb771d4k0nofe9axy.png,
329,220,102202,海枝枝,海枝枝（洋红沙丁）,最终阶段,水,幽,珊瑚骨,敌方精灵离场时，自己获得全技能能耗-3。,97,62,136,84,121,110,610,,,否,海枝枝（洋红沙丁）,洋红沙丁,,0.75~0.85,3.51~6.82,常见于海面,0.6,https://wiki.biligame.com/rocom/%E6%B5%B7%E6%9E%9D%E6%9E%9D%EF%BC%88%E6%B4%8B%E7%BA%A2%E6%B2%99%E4%B8%81%EF%BC%89,https://patchwiki.biligame.com/images/rocom/d/d0/mkug3arsv93oibilcf93wgiksue32zw.png,
