id,技能名称,页面标题,描述,效果,耗能,属性,威力,技能类别,技能版本,页面链接
284,热身,热身,把精灵的耳朵揉搓得热热的，准备接下来的战斗。,下一次攻击时，技能威力翻倍，应对防御：改为威力变为4倍。,1,火,0,状态,0.1,https://wiki.biligame.com/rocom/%E7%83%AD%E8%BA%AB
285,热身运动,热身运动,,自己获得连击数+3。,2,普通,0,状态,0.1,https://wiki.biligame.com/rocom/%E7%83%AD%E8%BA%AB%E8%BF%90%E5%8A%A8
286,焚尽,焚尽,火系部族的一种战术——烧掉自己身上的一切，包括名字和旗帜，直到只剩下战意。,驱散自己所有印记，每驱散1层，获得物攻+50%。巧变：火系攻击技能。,1,火,0,状态,0.1,https://wiki.biligame.com/rocom/%E7%84%9A%E5%B0%BD
287,焚毁,焚毁,S2赛季调整：&nbsp;威力60一40，造成魔伤，驱散敌方所有印记。一驱散敌方所有印记，每驱散1层，获得物攻+20%,造成魔伤，驱散敌方所有印记，每驱散1层，获得物攻+20%。,2,火,40,魔攻,0.2,https://wiki.biligame.com/rocom/%E7%84%9A%E6%AF%81
288,焚烧烙印,焚烧烙印,,驱散双方所有印记，每驱散1层，敌方获得5层灼烧。,3,火,0,状态,0.1,https://wiki.biligame.com/rocom/%E7%84%9A%E7%83%A7%E7%83%99%E5%8D%B0
289,燃尽,燃尽,“都结束了，敌人燃尽了，我们也燃尽了。”,造成魔伤，敌方每失去5%生命，本次技能威力-5。,4,火,155,魔攻,0.1,https://wiki.biligame.com/rocom/%E7%87%83%E5%B0%BD
290,爆冲,爆冲,,造成物伤，应对状态：本次技能威力变为5倍。,3,武,65,物攻,0.1,https://wiki.biligame.com/rocom/%E7%88%86%E5%86%B2
291,爆米花爆破,爆米花爆破,,对敌方精灵造成物理伤害。,5,萌,140,物攻,0.1,https://wiki.biligame.com/rocom/%E7%88%86%E7%B1%B3%E8%8A%B1%E7%88%86%E7%A0%B4
292,爆裂飞弹,爆裂飞弹,,对敌方精灵造成魔法伤害。,7,火,160,魔攻,0.1,https://wiki.biligame.com/rocom/%E7%88%86%E8%A3%82%E9%A3%9E%E5%BC%B9
293,牵连,牵连,,造成魔伤，敌方每有1只力竭精灵，本次技能威力+30。,4,恶,85,魔攻,0.1,https://wiki.biligame.com/rocom/%E7%89%B5%E8%BF%9E
294,猛烈撞击,猛烈撞击,头比计划先达到目的地。,对敌方精灵造成物理伤害。,1,普通,65,物攻,0.1,https://wiki.biligame.com/rocom/%E7%8C%9B%E7%83%88%E6%92%9E%E5%87%BB
295,玩具乐园,玩具乐园,,自身及背包里的精灵获得萌化，并提升30%攻防，速度+20。,7,萌,,状态,,https://wiki.biligame.com/rocom/%E7%8E%A9%E5%85%B7%E4%B9%90%E5%9B%AD
296,球状闪电,球状闪电,,对敌方精灵造成物理伤害。,1,电,60,物攻,0.1,https://wiki.biligame.com/rocom/%E7%90%83%E7%8A%B6%E9%97%AA%E7%94%B5
297,甜心续航,甜心续航,S2赛季调整：&nbsp;技能能耗3，自己和敌方获得萌化:回复40%生命和4一0能量,自己和敌方获得萌化：回复40%生命。,3,萌,0,状态,0.2,https://wiki.biligame.com/rocom/%E7%94%9C%E5%BF%83%E7%BB%AD%E8%88%AA
298,生日蛋糕,生日蛋糕,,驱散自己的减益，自己的增益翻倍。,4,萌,0,状态,0.1,https://wiki.biligame.com/rocom/%E7%94%9F%E6%97%A5%E8%9B%8B%E7%B3%95
299,甩水,甩水,一滴水珠被波波拉的小手托起，它说赠我小小的蓝。,造成魔伤，自己回复1能量。,0,水,30,魔攻,0.1,https://wiki.biligame.com/rocom/%E7%94%A9%E6%B0%B4
300,电弧,电弧,,造成物伤，迸发：本次技能威力+40。,3,电,80,物攻,0.1,https://wiki.biligame.com/rocom/%E7%94%B5%E5%BC%A7
301,电流,电流,,对敌方精灵造成魔法伤害。,0,电,40,魔攻,0.1,https://wiki.biligame.com/rocom/%E7%94%B5%E6%B5%81
302,电磁偏转,电磁偏转,,减伤70%，应对攻击：下回合所选技能使用次数+1。,3,电,0,防御,0.1,https://wiki.biligame.com/rocom/%E7%94%B5%E7%A3%81%E5%81%8F%E8%BD%AC
303,电离爆破,电离爆破,,敌方获得速度-40，3连击。,3,电,0,状态,0.1,https://wiki.biligame.com/rocom/%E7%94%B5%E7%A6%BB%E7%88%86%E7%A0%B4
304,疫病吐息,疫病吐息,,敌方获得1层中毒印记。,3,毒,0,状态,0.1,https://wiki.biligame.com/rocom/%E7%96%AB%E7%97%85%E5%90%90%E6%81%AF
305,疾风刺,疾风刺,,造成物伤，1连击，若先于敌方攻击，改为3连击。,2,翼,25,物攻,0.1,https://wiki.biligame.com/rocom/%E7%96%BE%E9%A3%8E%E5%88%BA
306,疾风涡轮,疾风涡轮,,造成物伤，先手+1。,7,翼,115,物攻,,https://wiki.biligame.com/rocom/%E7%96%BE%E9%A3%8E%E6%B6%A1%E8%BD%AE
307,疾风连袭,疾风连袭,,释放自己释放过的迅捷技能，其能耗之和的二分之一加至本技能能耗，每次使用后能耗+1。,0,翼,0,状态,0.1,https://wiki.biligame.com/rocom/%E7%96%BE%E9%A3%8E%E8%BF%9E%E8%A2%AD
308,瘴气喷射,瘴气喷射,,对敌方精灵造成魔法伤害。,3,毒,100,魔攻,0.1,https://wiki.biligame.com/rocom/%E7%98%B4%E6%B0%94%E5%96%B7%E5%B0%84
309,盐水浴,盐水浴,,自己获得全技能能耗-2，应对防御：改为技能能耗-3。,2,水,0,状态,0.1,https://wiki.biligame.com/rocom/%E7%9B%90%E6%B0%B4%E6%B5%B4
310,盛开,盛开,,自己获得全技能威力+30，应对防御：改为威力+60。,1,草,0,状态,0.1,https://wiki.biligame.com/rocom/%E7%9B%9B%E5%BC%80
311,相位移动,相位移动,,减伤50%，本技能位于1号位或3号位时，额外减伤40%，应对攻击，传动1。,1,机械,0,防御,0.1,https://wiki.biligame.com/rocom/%E7%9B%B8%E4%BD%8D%E7%A7%BB%E5%8A%A8
312,瞬间零度,瞬间零度,,本回合敌方使用的技能能耗+3，应对防御：改为全技能能耗+3。,0,冰,0,状态,0.1,https://wiki.biligame.com/rocom/%E7%9E%AC%E9%97%B4%E9%9B%B6%E5%BA%A6
313,石肤术,石肤术,,自己获得物防+160%和魔防-60%。,3,地,0,状态,0.1,https://wiki.biligame.com/rocom/%E7%9F%B3%E8%82%A4%E6%9C%AF
314,石锁,石锁,,造成物伤，敌方3回合无法更换精灵。,3,地,50,物攻,0.1,https://wiki.biligame.com/rocom/%E7%9F%B3%E9%94%81
315,砂石冲撞,砂石冲撞,,造成物伤，若敌方本回合更换精灵，自己获得物防+100%。,3,地,80,物攻,0.1,https://wiki.biligame.com/rocom/%E7%A0%82%E7%9F%B3%E5%86%B2%E6%92%9E
316,砂糖弹球,砂糖弹球,,造成物伤，双方体重差越大，本次技能威力越高。,2,萌,0,物攻,0.1,https://wiki.biligame.com/rocom/%E7%A0%82%E7%B3%96%E5%BC%B9%E7%90%83
317,破绽,破绽,,敌方获得双防-70%，应对防御：自己额外获得物攻+70%。,1,武,0,状态,0.1,https://wiki.biligame.com/rocom/%E7%A0%B4%E7%BB%BD
318,破罐破摔,破罐破摔,,造成魔伤，自己有减益时，本次技能威力+60。,3,萌,80,魔攻,0.1,https://wiki.biligame.com/rocom/%E7%A0%B4%E7%BD%90%E7%A0%B4%E6%91%94
319,破防,破防,S2赛季调整：&nbsp;技能能耗3一2，敌方获得双防-130一-70%，应对防御:额外使被应对技能冷却2回合,敌方获得双防-70%，应对防御：额外使被应对技能冷却2回合。,2,武,0,状态,0.2,https://wiki.biligame.com/rocom/%E7%A0%B4%E9%98%B2
320,硬化,硬化,,减伤90%，若上次使用攻击技则本技能能耗-2，应对攻击。,2,地,0,防御,0.1,https://wiki.biligame.com/rocom/%E7%A1%AC%E5%8C%96
321,硬门,硬门,某个擅长对决的魔法师点评此武学：硬门之韵在于对手先攻，我方以静制动。,应对攻击：打断被应对技能，并造成90威力物伤。,2,武,0,防御,0.1,https://wiki.biligame.com/rocom/%E7%A1%AC%E9%97%A8
322,碎冰冰,碎冰冰,,造成魔伤，敌方每有1层冻结，本次技能威力+20。,3,冰,40,魔攻,0.1,https://wiki.biligame.com/rocom/%E7%A2%8E%E5%86%B0%E5%86%B0
323,碎冰击,碎冰击,,造成物伤，敌方获得技能能耗+1。,4,冰,90,物攻,,https://wiki.biligame.com/rocom/%E7%A2%8E%E5%86%B0%E5%87%BB
324,碰爪,碰爪,,对敌方精灵造成物理伤害。,1,萌,60,物攻,0.1,https://wiki.biligame.com/rocom/%E7%A2%B0%E7%88%AA
325,磁干扰,磁干扰,精灵对决中常发生的怪异现象，突然，指南针开始指北。,对敌方精灵造成魔法伤害。,1,电,60,魔攻,0.1,https://wiki.biligame.com/rocom/%E7%A3%81%E5%B9%B2%E6%89%B0
326,磁暴,磁暴,,造成魔伤，本技能位于1号或3号位时威力+30，传动1。,2,机械,70,魔攻,0.1,https://wiki.biligame.com/rocom/%E7%A3%81%E6%9A%B4
327,示弱,示弱,,自己获得萌化：速度永久+150。,1,萌,0,状态,0.1,https://wiki.biligame.com/rocom/%E7%A4%BA%E5%BC%B1
328,离子火花,离子火花,,对敌方精灵造成物理伤害。,2,电,80,物攻,0.1,https://wiki.biligame.com/rocom/%E7%A6%BB%E5%AD%90%E7%81%AB%E8%8A%B1
329,离子震荡,离子震荡,,造成魔伤，本技能位于3号位时威力+40，传动1。,3,机械,90,魔攻,0.1,https://wiki.biligame.com/rocom/%E7%A6%BB%E5%AD%90%E9%9C%87%E8%8D%A1
330,种子弹,种子弹,,造成物伤，自己回复1能量。,0,草,30,物攻,0.1,https://wiki.biligame.com/rocom/%E7%A7%8D%E5%AD%90%E5%BC%B9
331,种皮爆裂,种皮爆裂,下周野外考察课的考察对象有些危险，大家穿上能防弹的魔法袍再来。,造成物伤，2连击。,1,草,25,物攻,0.1,https://wiki.biligame.com/rocom/%E7%A7%8D%E7%9A%AE%E7%88%86%E8%A3%82
332,移花接木,移花接木,不算逃跑。,自己回复15%生命，随后脱离。,2,草,0,状态,0.1,https://wiki.biligame.com/rocom/%E7%A7%BB%E8%8A%B1%E6%8E%A5%E6%9C%A8
333,空间压迫,空间压迫,,造成物伤，敌方获得1层星陨印记。,3,幻,70,物攻,0.1,https://wiki.biligame.com/rocom/%E7%A9%BA%E9%97%B4%E5%8E%8B%E8%BF%AB
334,穿膛,穿膛,,造成物伤，若敌方能量小于等于2，造成5倍伤害。,2,普通,65,物攻,0.1,https://wiki.biligame.com/rocom/%E7%A9%BF%E8%86%9B
335,突袭,突袭,,造成魔伤，应对状态：本次技能威力变为3倍。,2,普通,70,魔攻,0.1,https://wiki.biligame.com/rocom/%E7%AA%81%E8%A2%AD
336,等价交换,等价交换,,减伤90%，应对攻击：自己获得50%吸血。,3,恶,0,防御,0.1,https://wiki.biligame.com/rocom/%E7%AD%89%E4%BB%B7%E4%BA%A4%E6%8D%A2
337,筛管奔流,筛管奔流,,造成物伤，自己生命大于80%时，本次技能威力+75。,3,草,80,物攻,0.1,https://wiki.biligame.com/rocom/%E7%AD%9B%E7%AE%A1%E5%A5%94%E6%B5%81
338,粒子对撞,粒子对撞,,对敌方精灵造成物理伤害。,0,幻,40,物攻,0.1,https://wiki.biligame.com/rocom/%E7%B2%92%E5%AD%90%E5%AF%B9%E6%92%9E
339,精神扰乱,精神扰乱,,敌方获得全技能能耗+1，应对防御：改为能耗+3。,0,普通,0,状态,0.1,https://wiki.biligame.com/rocom/%E7%B2%BE%E7%A5%9E%E6%89%B0%E4%B9%B1
340,纤维化,纤维化,,减伤80%，应对攻击：自己获得物防+70%。,2,草,0,防御,0.1,https://wiki.biligame.com/rocom/%E7%BA%A4%E7%BB%B4%E5%8C%96
341,绵里藏针,绵里藏针,S2赛季调整：&nbsp;技能能耗2，威力50一60，若自己上回合未攻击敌方并造成伤害，本技能每回合永久+30一+20;,造成魔伤，若自己上回合未攻击敌方并造成伤害，本技能威力永久+20。,2,龙,60,魔攻,0.2,https://wiki.biligame.com/rocom/%E7%BB%B5%E9%87%8C%E8%97%8F%E9%92%88
342,缓冻,缓冻,,造成物伤，敌方速度-10。,3,冰,85,魔攻,,https://wiki.biligame.com/rocom/%E7%BC%93%E5%86%BB
343,缠丝劲,缠丝劲,,造成物伤，2连击。,1,武,25,物攻,0.1,https://wiki.biligame.com/rocom/%E7%BC%A0%E4%B8%9D%E5%8A%B2
344,网缚,网缚,,造成物伤，敌方获得物防-30%。,2,虫,60,物攻,0.1,https://wiki.biligame.com/rocom/%E7%BD%91%E7%BC%9A
345,羽刃,羽刃,,造成物伤，应对状态：回合结束使敌方紧急脱离。,2,翼,75,物攻,0.1,https://wiki.biligame.com/rocom/%E7%BE%BD%E5%88%83
346,羽化加速,羽化加速,,自己获得全技能威力+20，迅捷。,2,翼,0,状态,0.1,https://wiki.biligame.com/rocom/%E7%BE%BD%E5%8C%96%E5%8A%A0%E9%80%9F
347,羽毛舞,羽毛舞,,迅捷，驱散敌方一种增益。,2,翼,,状态,,https://wiki.biligame.com/rocom/%E7%BE%BD%E6%AF%9B%E8%88%9E
348,羽翼庇护,羽翼庇护,"S2赛季调整：&nbsp;技能能耗3一2，减伤70%，应对攻击:自己获得连击数
+3->+2",减伤70%，应对攻击：自己获得连击数+2。,2,翼,0,防御,0.2,https://wiki.biligame.com/rocom/%E7%BE%BD%E7%BF%BC%E5%BA%87%E6%8A%A4
349,翅刃,翅刃,,造成物伤，驱散敌方所有印记，应对状态：改为偷取印记。,4,虫,95,物攻,0.1,https://wiki.biligame.com/rocom/%E7%BF%85%E5%88%83
350,翼击,翼击,,造成魔伤，迅捷。,3,翼,50,魔攻,0.1,https://wiki.biligame.com/rocom/%E7%BF%BC%E5%87%BB
351,耀眼,耀眼,,敌方获得连击数-4。,1,普通,0,状态,0.1,https://wiki.biligame.com/rocom/%E8%80%80%E7%9C%BC
352,聒噪,聒噪,S2赛季调整：&nbsp;敌方获得全攻击技能能耗+3一+2，持续3回合。,敌方获得全攻击技能能耗+2，持续3回合。,3,普通,0,状态,0.2,https://wiki.biligame.com/rocom/%E8%81%92%E5%99%AA
353,联动装置,联动装置,,使用后两侧技能的威力永久+20，应对防御：变为威力永久+30。,0,机械,0,状态,0.1,https://wiki.biligame.com/rocom/%E8%81%94%E5%8A%A8%E8%A3%85%E7%BD%AE
354,聚盐,聚盐,S2赛季调整：&nbsp;2连击，每次连击自己回复5%一8%生命，使用后本技能连击数永久+1(不再恢复能量),2连击，每次连击自己回复8%生命，使用后本技能连击数永久+1。,3,草,0,状态,0.2,https://wiki.biligame.com/rocom/%E8%81%9A%E7%9B%90
355,肥皂泡,肥皂泡,,对敌方精灵造成魔法伤害。,1,水,60,魔攻,0.1,https://wiki.biligame.com/rocom/%E8%82%A5%E7%9A%82%E6%B3%A1
356,背袭,背袭,,造成魔伤，若敌方能量等于0，造成20倍伤害。,2,幽,40,魔攻,0.1,https://wiki.biligame.com/rocom/%E8%83%8C%E8%A2%AD
357,能量刃,能量刃,,造成物伤，每应对成功1次，本技能威力永久+90。,3,普通,80,物攻,0.1,https://wiki.biligame.com/rocom/%E8%83%BD%E9%87%8F%E5%88%83
358,能量守恒,能量守恒,,减伤80%，应对攻击：两侧技能能耗永久-1。,2,机械,0,防御,0.1,https://wiki.biligame.com/rocom/%E8%83%BD%E9%87%8F%E5%AE%88%E6%81%92
359,能量炮,能量炮,,造成魔伤，2连击。,3,普通,50,魔攻,0.1,https://wiki.biligame.com/rocom/%E8%83%BD%E9%87%8F%E7%82%AE
360,脉冲光线,脉冲光线,,对敌方精灵造成魔法伤害。,0,光,40,魔攻,0.1,https://wiki.biligame.com/rocom/%E8%84%89%E5%86%B2%E5%85%89%E7%BA%BF
361,腐化,腐化,,敌方每有1层中毒效果，敌方获得双攻-30%。,1,毒,0,状态,0.1,https://wiki.biligame.com/rocom/%E8%85%90%E5%8C%96
362,腐蚀酸液,腐蚀酸液,,造成魔伤，敌方获得2层中毒。,2,毒,35,魔攻,0.1,https://wiki.biligame.com/rocom/%E8%85%90%E8%9A%80%E9%85%B8%E6%B6%B2
363,色散,色散,战斗学科的某位老师，望着彩虹思索配队的时候，领悟到不同系别魔法穿过空气的速率是不一样的。,造成魔伤，对混血精灵造成伤害+50%。,3,光,80,魔攻,0.1,https://wiki.biligame.com/rocom/%E8%89%B2%E6%95%A3
364,花炮,花炮,,2连击，每次连击自己获得魔攻+60%。,2,草,0,状态,0.1,https://wiki.biligame.com/rocom/%E8%8A%B1%E7%82%AE
365,花香,花香,,对敌方精灵造成魔法伤害。,1,草,60,魔攻,0.1,https://wiki.biligame.com/rocom/%E8%8A%B1%E9%A6%99
366,芳香诱引,芳香诱引,S2赛季调整：&nbsp;技能能耗1一2，自己获得连击数+3一+2，应对防御:额外造成打断，且敌方下回合获得眩晕,自己获得连击数+2，应对防御：额外造成打断，且敌方下回合获得眩晕。,2,草,0,状态,0.2,https://wiki.biligame.com/rocom/%E8%8A%B3%E9%A6%99%E8%AF%B1%E5%BC%95
367,荆棘爪,荆棘爪,,对敌方精灵造成物理伤害。,2,草,80,物攻,0.1,https://wiki.biligame.com/rocom/%E8%8D%86%E6%A3%98%E7%88%AA
368,草虫冲击,草虫冲击,,造成物伤，若敌方本回合更换精灵，本次威力+50且无视敌方系别抵抗。,3,虫,80,物攻,0.1,https://wiki.biligame.com/rocom/%E8%8D%89%E8%99%AB%E5%86%B2%E5%87%BB
369,落井下毒,落井下毒,谁在井下？,使敌方精灵减益的层数翻倍。,6,毒,0,状态,0.1,https://wiki.biligame.com/rocom/%E8%90%BD%E4%BA%95%E4%B8%8B%E6%AF%92
370,落星,落星,,对敌方精灵造成物理伤害。,0,普通,45,物攻,0.1,https://wiki.biligame.com/rocom/%E8%90%BD%E6%98%9F
371,落石,落石,,造成物伤，1连击。,1,地,55,物攻,0.1,https://wiki.biligame.com/rocom/%E8%90%BD%E7%9F%B3
372,落雨,落雨,"天气「雨天」:双方水系技能威力+75%
S2赛季调整：&nbsp;将天气改为雨天，持续8回合。天气「雨天」:双方水系技能威力+50%一+75%",将天气改为雨天，持续8回合。,5,水,0,状态,0.1,https://wiki.biligame.com/rocom/%E8%90%BD%E9%9B%A8
373,落雷,落雷,S2赛季调整：&nbsp;技能能耗4一3，威力100一35，造成魔伤，每次入场，本技能威力永久+20-+40,造成魔伤，每次入场，本技能威力永久+40。,3,电,35,魔攻,0.1,https://wiki.biligame.com/rocom/%E8%90%BD%E9%9B%B7
374,蓄势待发,蓄势待发,,自己获得1层蓄势印记。,4,地,0,状态,0.1,https://wiki.biligame.com/rocom/%E8%93%84%E5%8A%BF%E5%BE%85%E5%8F%91
375,蓄水,蓄水,,下次使用的技能能耗-6。,1,水,0,状态,0.1,https://wiki.biligame.com/rocom/%E8%93%84%E6%B0%B4
376,蓄能轰击,蓄能轰击,真正的环保主义，能源循环利用。,造成魔伤，每使用1次普通系技能，本技能能耗永久-2。,6,普通,130,魔攻,0.1,https://wiki.biligame.com/rocom/%E8%93%84%E8%83%BD%E8%BD%B0%E5%87%BB
377,藤绞,藤绞,,造成物伤，自己回复5能量。,4,草,80,物攻,0.1,https://wiki.biligame.com/rocom/%E8%97%A4%E7%BB%9E
378,藤鞭,藤鞭,,造成物伤，2连击。,3,草,35,物攻,,https://wiki.biligame.com/rocom/%E8%97%A4%E9%9E%AD
379,虚假破产,虚假破产,,减伤80%，能量不足时，消耗5%生命代替1能量，应对攻击。,2,恶,0,防御,0.1,https://wiki.biligame.com/rocom/%E8%99%9A%E5%81%87%E7%A0%B4%E4%BA%A7
380,虚化,虚化,,减伤80%，应对攻击：自己获得魔防+70%。,2,幽,0,防御,0.1,https://wiki.biligame.com/rocom/%E8%99%9A%E5%8C%96
381,虫击,虫击,,造成物伤，应对状态：本次技能威力变为2倍，无视敌方系别抵抗。,3,虫,90,物攻,0.1,https://wiki.biligame.com/rocom/%E8%99%AB%E5%87%BB
382,虫刺,虫刺,,造成魔伤，3连击。,1,虫,15,魔攻,0.1,https://wiki.biligame.com/rocom/%E8%99%AB%E5%88%BA
383,虫结阵,虫结阵,研究手记：虫群盘成漩涡，每一次振翅都将最终掀起龙卷。,减伤80%，应对攻击：己方队伍获得1次随机奉献。,2,虫,0,防御,0.1,https://wiki.biligame.com/rocom/%E8%99%AB%E7%BB%93%E9%98%B5
384,虫网,虫网,,造成魔伤，自己回复1能量。,0,虫,30,魔攻,0.1,https://wiki.biligame.com/rocom/%E8%99%AB%E7%BD%91
385,虫群,虫群,即使圣城坠毁，虫群也不会灭绝。,造成物伤，1连击，本技能会受奉献影响。,7,虫,20,物攻,0.1,https://wiki.biligame.com/rocom/%E8%99%AB%E7%BE%A4
386,虫群智慧,虫群智慧,,己方队伍获得2次随机奉献。,3,虫,0,状态,0.1,https://wiki.biligame.com/rocom/%E8%99%AB%E7%BE%A4%E6%99%BA%E6%85%A7
387,虫群过境,虫群过境,S2赛季调整：&nbsp;技能能耗5一3，威力45一30，造成物伤，2连击。己方队伍获得1次奉献:获得连击数+1,造成物伤，2连击。己方队伍获得1次奉献：获得连击数+1。,3,虫,30,物攻,0.2,https://wiki.biligame.com/rocom/%E8%99%AB%E7%BE%A4%E8%BF%87%E5%A2%83
388,虫茧,虫茧,研究手记：茧不透光，只听到内里传出咀嚼声。,自己回复20%生命，己方队伍获得1次奉献：获得10%吸血。,1,虫,0,状态,0.1,https://wiki.biligame.com/rocom/%E8%99%AB%E8%8C%A7
389,虫蛊,虫蛊,,对敌方精灵造成魔法伤害。,3,虫,100,魔攻,0.1,https://wiki.biligame.com/rocom/%E8%99%AB%E8%9B%8A
390,虫鸣,虫鸣,,造成魔伤，队伍中的精灵每携带1个虫鸣，本次技能连击数+1。,2,虫,15,魔攻,0.1,https://wiki.biligame.com/rocom/%E8%99%AB%E9%B8%A3
391,虹光冲击,虹光冲击,,对敌方精灵造成魔法伤害。,3,光,100,魔攻,0.1,https://wiki.biligame.com/rocom/%E8%99%B9%E5%85%89%E5%86%B2%E5%87%BB
392,蛰针,蛰针,,对敌方精灵造成物理伤害。,0,虫,40,物攻,0.1,https://wiki.biligame.com/rocom/%E8%9B%B0%E9%92%88
393,蜡质膜,蜡质膜,,减伤80%，应对攻击：回复3能量。,2,草,0,防御,0.1,https://wiki.biligame.com/rocom/%E8%9C%A1%E8%B4%A8%E8%86%9C
394,蝙蝠,蝙蝠,,造成物伤，并吸血100%。,2,恶,65,物攻,0.1,https://wiki.biligame.com/rocom/%E8%9D%99%E8%9D%A0
395,血气,血气,,减伤60%，应对攻击：本回合受到致命伤害时，保留1生命值。,2,普通,0,防御,0.1,https://wiki.biligame.com/rocom/%E8%A1%80%E6%B0%94
396,裂石,裂石,,造成物伤，应对状态：敌方获得物防-80%。,3,地,95,物攻,0.1,https://wiki.biligame.com/rocom/%E8%A3%82%E7%9F%B3
397,见招拆招,见招拆招,,造成物伤，若上回合使用状态技能，本次技能威力+55。,2,普通,65,物攻,0.1,https://wiki.biligame.com/rocom/%E8%A7%81%E6%8B%9B%E6%8B%86%E6%8B%9B
398,角击,角击,,对敌方精灵造成魔法伤害。,2,龙,80,魔攻,0.1,https://wiki.biligame.com/rocom/%E8%A7%92%E5%87%BB
399,触底强击,触底强击,S2赛季调整：&nbsp;技能能耗3一4，威力65一95，造成魔伤，使用后若能量耗尽，本次技能威力+120,造成魔伤，使用后若能量耗尽，本次技能威力+120。,4,普通,95,魔攻,0.2,https://wiki.biligame.com/rocom/%E8%A7%A6%E5%BA%95%E5%BC%BA%E5%87%BB
400,触电,触电,,对敌方精灵造成魔法伤害。,2,电,80,魔攻,0.1,https://wiki.biligame.com/rocom/%E8%A7%A6%E7%94%B5
401,许愿星,许愿星,他们为了愿望而来。,对敌方精灵造成魔法伤害。,3,普通,110,魔攻,0.1,https://wiki.biligame.com/rocom/%E8%AE%B8%E6%84%BF%E6%98%9F
402,诋毁,诋毁,,对敌方精灵造成物理伤害。,2,恶,80,物攻,0.1,https://wiki.biligame.com/rocom/%E8%AF%8B%E6%AF%81
403,诡刺,诡刺,,对敌方精灵造成物理伤害。,0,幽,40,物攻,0.1,https://wiki.biligame.com/rocom/%E8%AF%A1%E5%88%BA
404,贪婪,贪婪,,自己获得100%吸血。,2,恶,0,状态,0.1,https://wiki.biligame.com/rocom/%E8%B4%AA%E5%A9%AA
405,贮藏,贮藏,,自己获得双攻+50%，每携带1个0能耗技能，额外+50%。,2,虫,0,状态,0.1,https://wiki.biligame.com/rocom/%E8%B4%AE%E8%97%8F
406,贯手,贯手,,对敌方精灵造成魔法伤害。,2,武,80,魔攻,0.1,https://wiki.biligame.com/rocom/%E8%B4%AF%E6%89%8B
407,赤子之心,赤子之心,,自己获得萌化：全技能能耗永久-3。,2,萌,0,状态,0.1,https://wiki.biligame.com/rocom/%E8%B5%A4%E5%AD%90%E4%B9%8B%E5%BF%83
408,趁火打劫,趁火打劫,,造成物伤，2连击，若击败敌方，本技能连击数永久+2。,3,恶,35,物攻,0.1,https://wiki.biligame.com/rocom/%E8%B6%81%E7%81%AB%E6%89%93%E5%8A%AB
409,超导,超导,,造成魔伤，迸发：本技能能耗-1。,3,电,95,魔攻,0.1,https://wiki.biligame.com/rocom/%E8%B6%85%E5%AF%BC
410,超导加速,超导加速,,造成魔伤，自己获得速度+30。,2,电,70,魔攻,0.1,https://wiki.biligame.com/rocom/%E8%B6%85%E5%AF%BC%E5%8A%A0%E9%80%9F
411,超新星馈赠,超新星馈赠,,敌方获得2层星陨印记，每使用1次，赋予的星陨印记层数+1。,2,幻,0,状态,0.1,https://wiki.biligame.com/rocom/%E8%B6%85%E6%96%B0%E6%98%9F%E9%A6%88%E8%B5%A0
412,超级糖果,超级糖果,,造成物伤，自己获得萌化：本次技能威力+60。,3,萌,100,物攻,0.1,https://wiki.biligame.com/rocom/%E8%B6%85%E7%BA%A7%E7%B3%96%E6%9E%9C
413,超维投射,超维投射,,敌方获得4层星陨印记。,4,幻,0,状态,0.1,https://wiki.biligame.com/rocom/%E8%B6%85%E7%BB%B4%E6%8A%95%E5%B0%84
414,跌落,跌落,,造成大量物伤，自己获得物攻-50%，应对状态：改为获得物攻+50%。,3,恶,120,物攻,0.1,https://wiki.biligame.com/rocom/%E8%B7%8C%E8%90%BD
415,践踏,践踏,,对敌方精灵造成物理伤害。,4,普通,130,物攻,0.1,https://wiki.biligame.com/rocom/%E8%B7%B5%E8%B8%8F
416,跺地,跺地,,对敌方精灵造成物理伤害。,2,地,80,物攻,0.1,https://wiki.biligame.com/rocom/%E8%B7%BA%E5%9C%B0
417,踏雷,踏雷,,自己回合结束时返场，携带的攻击技能下回合获得1个已触发过的进发效果，应对防御：改为获得所有触发过的迸发效果。,2,电,0,状态,0.1,https://wiki.biligame.com/rocom/%E8%B8%8F%E9%9B%B7
418,轴承支撑,轴承支撑,,主动：本技能被动额外-1能耗，被动：两侧技能能耗-1，传动1。,3,机械,0,状态,0.1,https://wiki.biligame.com/rocom/%E8%BD%B4%E6%89%BF%E6%94%AF%E6%92%91
419,过曝,过曝,,造成魔伤，每使用过1个其他系别技能，本技能威力永久+30。,3,光,60,魔攻,0.1,https://wiki.biligame.com/rocom/%E8%BF%87%E6%9B%9D
420,过载回路,过载回路,,回合结束自己返场，下回合所选技能使用次数+1。,1,电,0,状态,0.1,https://wiki.biligame.com/rocom/%E8%BF%87%E8%BD%BD%E5%9B%9E%E8%B7%AF
421,远程访问,远程访问,,使敌方精灵返场。,2,电,0,状态,0.1,https://wiki.biligame.com/rocom/%E8%BF%9C%E7%A8%8B%E8%AE%BF%E9%97%AE
